text_left,text_right,label
"Explosion Rips Through Yemen Airport As New Government Arrives, Killing 16 &amp; Wounding 60","Blast At Yemen's Aden Airport Kills At Least 16, Wounds Dozens",1
"Explosion Rips Through Yemen Airport As New Government Arrives, Killing 16 &amp; Wounding 60","Loeffler’s barbs against Warnock are ‘a broader attack against the Black Church,’ Georgia pastors say",0
"Explosion Rips Through Yemen Airport As New Government Arrives, Killing 16 &amp; Wounding 60",U.S. To Execute Only Woman On Federal Death Row 8 Days Before Biden Inauguration,0
"Explosion Rips Through Yemen Airport As New Government Arrives, Killing 16 &amp; Wounding 60",Trump Is Said to Plan Pardon of Flynn,0
"Explosion Rips Through Yemen Airport As New Government Arrives, Killing 16 &amp; Wounding 60",On-duty Oklahoma police officer saves his children from fire at own house,0
BBC investigating claim that reporter coerced Princess Diana into 1995 bombshell interview,BBC Probes Whether Princess Diana Was Tricked Into Bombshell Interview,1
BBC investigating claim that reporter coerced Princess Diana into 1995 bombshell interview,George Floyd languished inside a Texas prison. Communities and companies saw it as ‘economic development.’,0
BBC investigating claim that reporter coerced Princess Diana into 1995 bombshell interview,Attorney On Trump’s Georgia Call Works With Group Aiming To Eliminate Senate Elections,0
BBC investigating claim that reporter coerced Princess Diana into 1995 bombshell interview,"When your chance for a COVID-19 shot comes, don't worry which one it is",0
BBC investigating claim that reporter coerced Princess Diana into 1995 bombshell interview,Philby Files and Dirty Work – UK Gov't and Media in the Same Bed,0
"Twin suicide bombings at Baghdad market kill at least 32, wound dozens of others","Twin suicide bombings hit Baghdad, killing 32 and sparking fears of Islamic State comeback",1
"Twin suicide bombings at Baghdad market kill at least 32, wound dozens of others","Biden visits wounded soldiers at Walter Reed, where son died",0
"Twin suicide bombings at Baghdad market kill at least 32, wound dozens of others","Tucker Carlson Says He Is Not Leaving Fox News -- 'This Show Is Not Going Anywhere, It Is Getting Bigger'",0
"Twin suicide bombings at Baghdad market kill at least 32, wound dozens of others",Meet Amanda Gorman's mentors: The teachers who nurtured the inauguration poet,0
